t,input,std_recon,dsl_recon
638,-0,-0.0015418,4.13923e-11
639,-0,0.0592707,-4.21388e-10
640,-0,0.0369169,-1.01027e-10
641,-0,0.0389958,4.23644e-10
642,-0,0.060918,2.35918e-10
643,-0,0.0601424,6.39056e-10
644,-0,0.0702975,1.85698e-10
645,-0,-0.0694716,-4.89197e-10
646,-0,-0.0425835,-6.24148e-10
647,-0,0.0697991,-3.97119e-10
648,-0,-0.0370603,3.13936e-10
649,-0,-0.0757544,1.58568e-09
650,-0,0.094429,4.4994e-10
651,-0,0.030153,-9.51094e-11
652,-0,-0.0154241,-4.18298e-11
653,-0,-0.00467073,-1.56926e-11
654,-0,0.0595912,1.01391e-09
655,-0,-0.00811956,-7.52692e-10
656,-0,0.0479052,-1.6106e-10
657,-0,0.0350858,4.1612e-10
658,-0,-0.00364203,7.91418e-10
659,-0,-0.0137155,-1.42268e-09
660,-0,-0.065588,-5.90266e-10
661,-0,0.110424,1.48287e-09
662,-0,-0.001725,-3.29246e-10
663,-0,0.0349806,-2.90665e-10
664,-0,0.0147886,-4.50445e-10
665,-0,-0.0390723,4.51345e-10
666,-0,-0.0451851,1.09145e-09
667,-0,-0.00350416,-2.48947e-10
668,-0,-0.0492991,2.28053e-11
669,-0,0.0480395,-2.77025e-11
670,-0,0.0167941,-1.03165e-09
671,-0,-0.0333102,3.7239e-10
672,-0,-0.0320558,-1.25843e-10
673,-0,0.0674865,-1.13045e-10
674,-0,0.00873506,-1.43573e-09
675,-0,-0.066606,4.76225e-10
676,-0,0.0133649,1.07677e-09
677,-0,-0.0388765,2.61375e-10
678,-0,-0.0117032,1.0351e-09
679,-0,-0.0141398,-5.17606e-10
680,-0,0.00113635,-1.01331e-09
681,-0,-0.0139851,-3.49185e-10
682,-0,-0.0643705,9.28574e-10
683,-0,-0.0007061,9.84404e-10
684,-0,0.0329476,3.90774e-10
685,-0,0.122454,-5.92066e-10
686,-0,0.0436097,6.2639e-10
687,-0,-0.0103376,-5.46555e-10
688,-0,0.0030995,-4.9388e-10
689,-0,0.00599668,4.83057e-10
690,-0,-0.0315622,-2.22179e-10
691,-0,-0.0493513,1.06303e-09
692,-0,0.13716,-1.64272e-10
693,-0,0.0933829,-8.99079e-10
694,-0,0.0208087,-2.6509e-10
695,-0,-0.00454185,-4.98188e-11
696,-0,0.0146373,7.04325e-11
697,-0,-0.000542031,-6.97447e-10
